ticker,interval_minutes,date,time,timestamp_utc,open,high,low,close,volume,price_range,return_pct,sma_5,sma_10,sma_20,ema_10,volatility_10,rsi_14,target_up_next_bar,split
AAPL,60,2017-11-30,16:30:00,2017-11-30T16:30:00+00:00,170.790000,171.280000,170.680000,171.250000,9564,0.600000,0.257596,170.492000,169.710000,170.955000,170.436971,0.365762,40.157480,1,train
AAPL,60,2017-11-30,17:30:00,2017-11-30T17:30:00+00:00,171.220000,171.870000,170.820000,171.800000,10174,1.050000,0.321168,171.014000,170.051000,170.898000,170.684794,0.315195,43.736730,1,train
AAPL,60,2017-11-30,18:30:00,2017-11-30T18:30:00+00:00,171.830000,171.940000,171.380000,171.830000,8605,0.560000,0.017462,171.290000,170.300000,170.837500,170.893014,0.291772,46.059933,0,train
AAPL,60,2017-11-30,19:30:00,2017-11-30T19:30:00+00:00,171.830000,171.920000,171.220000,171.660000,9044,0.700000,-0.098935,171.470000,170.600000,170.776000,171.032466,0.239656,63.552833,1,train
AAPL,60,2017-11-30,20:30:00,2017-11-30T20:30:00+00:00,171.670000,172.120000,171.400000,171.740000,5492,0.720000,0.046604,171.656000,170.871000,170.725500,171.161108,0.242451,72.805508,0,train
AAPL,60,2017-11-30,21:30:00,2017-11-30T21:30:00+00:00,171.760000,171.760000,171.570000,171.640000,36,0.190000,-0.058228,171.734000,171.113000,170.663500,171.248179,0.251948,81.190019,0,train
AAPL,60,2017-12-01,13:30:00,2017-12-01T13:30:00+00:00,170.470000,170.690000,169.210000,169.860000,395,1.480000,-1.037054,171.346000,171.180000,170.506500,170.995783,0.451274,54.304636,1,train
AAPL,60,2017-12-01,14:30:00,2017-12-01T14:30:00+00:00,169.920000,171.650000,169.610000,171.450000,10571,2.040000,0.936065,171.270000,171.280000,170.430000,171.078368,0.487088,70.071942,0,train
AAPL,60,2017-12-01,15:30:00,2017-12-01T15:30:00+00:00,171.460000,171.560000,169.070000,169.370000,10848,2.490000,-1.213182,170.812000,171.141000,170.271500,170.767756,0.627663,51.963048,1,train
AAPL,60,2017-12-01,16:30:00,2017-12-01T16:30:00+00:00,169.330000,170.630000,168.490000,169.960000,10976,2.140000,0.348350,170.456000,171.056000,170.275000,170.620891,0.641782,54.083885,1,train
AAPL,60,2017-12-01,17:30:00,2017-12-01T17:30:00+00:00,169.960000,170.540000,169.450000,170.450000,10305,1.090000,0.288303,170.218000,170.976000,170.343000,170.589820,0.643478,56.617647,1,train
AAPL,60,2017-12-01,18:30:00,2017-12-01T18:30:00+00:00,170.470000,171.030000,170.230000,170.950000,9173,0.800000,0.293341,170.436000,170.891000,170.471000,170.655307,0.641777,52.853881,0,train
